Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
6/4/2013,6.87045E-05,-0.017252536,-0.014791573,-0.010289275,-0.004964797,0.010957439,-0.006591146,-0.004716768,-0.008576704,0.00302305,0.014531551,0.002004241,0.004167542,0.031931635,-0.010700121
6/10/2013,-0.008010012,-0.013381555,-0.030074616,0.007011165,0.001354576,-0.017318691,-0.015621859,-0.009375828,-0.003743788,0.072409555,0.029383299,0.026379784,-0.007819549,-0.032379726,-0.013493196
6/14/2013,0.01063008,-0.016873182,-0.018814866,-0.009864801,-0.021686631,-0.008629354,0.006572795,0.002888871,-0.00453203,0.006630731,-0.037468513,0.021601594,0.000744798,-0.01722341,-0.012647628
6/20/2013,-0.026068713,-0.024609701,-0.046361915,-0.023689214,-0.024511542,-0.041260279,-0.04254283,-0.023350879,-0.012154403,0.019652528,0.136558505,-0.024935687,-0.073010672,-0.040049398,0.016154879
6/26/2013,0.001490149,-0.012017298,-0.006766642,0.009577506,0.001611883,-0.006236449,-0.012180285,-0.010410088,-0.010342124,-0.003338555,0.049551418,0.001110466,-0.043928919,-0.005482283,0.01285065
7/2/2013,0.002386339,0.021263531,0.034061364,0.006779814,-0.003767648,0.005062849,0.028177595,0.012147683,0.011440307,-0.052909122,-0.027494588,0.042911332,0.011315584,0.029876329,0.006699704
7/9/2013,-0.004412648,-0.01212418,-0.019842439,0.023684342,0.018536158,0.015906648,-0.015330604,-0.00538003,-0.001406545,-0.029025883,0.068522726,0.039529519,0.001777022,-0.028865526,0.012349596
7/15/2013,0.012239986,0.03057041,0.043654287,0.018369232,0.02194695,0.03128758,0.011525335,0.008515588,0.015378455,0.021833528,-0.036649947,0.026977795,0.030402299,0.021180461,-0.018175985
7/19/2013,0.001987738,-0.002129106,-0.001052289,0.005691624,0.011688406,0.026130824,0.020133685,0.00761243,0.012758787,0.014715458,-0.023912367,0.016309972,0.007425539,0.004388462,-0.00511494
7/25/2013,0.001188894,0.0056687,0.012839187,-0.001113796,-0.003970743,0.018775358,-0.008011866,-0.006600552,-0.00640436,0.000915172,0.038306721,-0.023822764,0.027538402,0.0082241,-0.007803586
7/31/2013,-0.007281161,-0.008778996,-0.015136537,-0.002603871,-0.002720258,-0.002907576,-0.009372908,-0.001210748,-0.002199509,0.021481854,0.004376457,-0.004396291,-0.012493843,-0.013707034,-0.006300123
